gare_depart;Paris-Nord;Lyon-Perrache;Marseille-St-Charles;Toulouse-Matabiau;Lille-Flandres;Bordeaux-St-Jean;Nice-Ville;Nantes;Strasbourg-Ville;Montpellier-St-Roch
Paris-Nord;NA;2,44805555555556;3,65750000000000;5,03888888888889;1,18638888888889;2,70138888888889;5,84638888888889;2,75500000000000;1,97444444444444;3,75000000000000
Lyon-Perrache;2,44805555555556;NA;1,95805555555556;4,31555555555556;3,42555555555556;5,78055555555556;4,65888888888889;2,62472222222222;4,56083333333333;2,25722222222222
Marseille-St-Charles;3,65750000000000;1,95805555555556;NA;3,87750000000000;4,66861111111111;6,17222222222222;2,62666666666667;4,52027777777778;5,50694444444444;1,63944444444444
Toulouse-Matabiau;5,03888888888889;4,31555555555556;3,87750000000000;NA;7,34138888888889;2,16305555555556;6,71638888888889;7,59333333333333;8,09666666666667;2,24500000000000
Lille-Flandres;1,18638888888889;3,42555555555556;4,66861111111111;7,34138888888889;NA;4,07083333333333;7,62416666666667;5,31583333333333;3,05416666666667;5,13305555555556
Bordeaux-St-Jean;2,70138888888889;5,78055555555556;6,17222222222222;2,16305555555556;4,07083333333333;NA;9,15638888888889;3,97083333333333;4,95916666666667;4,50472222222222
Nice-Ville;5,84638888888889;4,65888888888889;2,62666666666667;6,71638888888889;7,62416666666667;9,15638888888889;NA;8,99083333333333;8,19583333333333;4,65972222222222
Nantes;2,75500000000000;2,62472222222222;4,52027777777778;7,59333333333333;5,31583333333333;3,97083333333333;8,99083333333333;NA;5,20444444444444;2,80861111111111
Strasbourg-Ville;1,97444444444444;4,56083333333333;5,50694444444444;8,09666666666667;3,05416666666667;4,95916666666667;8,19583333333333;5,20444444444444;NA;6,00777777777778
Montpellier-St-Roch;3,75000000000000;2,25722222222222;1,63944444444444;2,24500000000000;5,13305555555556;4,50472222222222;4,65972222222222;2,80861111111111;6,00777777777778;NA
